78.163,118.22,0.31754,35.906,48.217,14.656,41.768,60,60,20
78.041,123.11,0.35296,35.76,48.144,14.656,41.768,60,60,20
77.797,123.6,0.35173,35.76,48.217,14.656,41.622,60,60,20
77.919,119.93,0.33952,35.686,48.144,14.729,41.768,60,60,20
77.675,131.41,0.32487,35.833,48.144,14.582,41.622,60,60,20
77.553,126.04,0.31143,35.833,47.997,14.802,41.695,60,60,20
77.064,125.06,0.35906,35.76,48.07,14.656,41.622,60,60,20
77.186,132.88,0.34563,35.686,47.997,14.729,41.549,60,60,20
76.82,123.11,0.33219,35.686,47.997,14.656,41.695,60,60,20
76.575,128.97,0.31876,35.686,47.997,14.656,41.622,60,60,20
76.698,128.97,0.32242,35.76,47.997,14.582,41.549,60,60,20
76.209,122.13,0.35906,35.686,47.851,14.656,41.622,60,60,20
76.087,128.72,0.34319,35.686,47.851,14.656,41.622,60,60,20
75.965,127.5,0.33097,35.686,47.851,14.656,41.622,60,60,20
75.721,125.06,0.31632,35.686,47.997,14.656,41.475,60,60,20
75.598,125.31,0.33219,35.686,47.924,14.656,41.549,60,60,20
75.598,124.33,0.35173,35.686,47.851,14.729,41.549,60,60,20
75.232,123.11,0.33952,35.613,47.851,14.656,41.402,60,60,20
75.232,129.46,0.32731,35.686,47.997,14.729,41.402,60,60,20
74.988,123.11,0.31754,35.54,47.851,14.656,41.475,60,60,20
74.744,125.55,0.36028,35.686,47.851,14.656,41.329,60,60,20
74.499,126.04,0.34929,35.613,47.851,14.656,41.329,60,60,20
74.377,125.55,0.33708,35.613,47.777,14.656,41.402,60,60,20
74.499,127.75,0.32609,35.54,47.704,14.582,41.402,60,60,20
74.255,126.04,0.32609,35.613,47.704,14.656,41.255,60,60,20
74.011,123.6,0.35784,35.613,47.704,14.582,41.329,60,60,20
73.889,132.39,0.34441,35.613,47.704,14.656,41.329,60,60,20
73.644,124.82,0.33341,35.613,47.704,14.582,41.255,60,60,20
73.4,127.02,0.31998,35.613,47.777,14.729,41.402,60,60,20
73.278,128.48,0.31387,35.54,47.777,14.729,41.329,60,60,20
73.278,125.06,0.3554,35.54,47.704,14.656,41.329,60,60,20
73.034,131.41,0.34074,35.54,47.704,14.656,41.255,60,60,20
72.789,135.32,0.33097,35.54,47.704,14.582,41.182,60,60,20
72.789,134.83,0.31632,35.54,47.631,14.802,41.402,60,60,20
72.667,132.14,0.32364,35.613,47.704,14.656,41.109,60,60,20
72.179,123.6,0.35173,35.613,47.704,14.656,41.329,60,60,20
